Temps, It, Stocks, Prix
28,28,115.376076,11.652010
29,29,116.099411,12.798769
30,30,117.957527,18.343426
31,31,117.885872,17.523626
32,32,119.908638,21.801172
33,32,120.331505,22.412483
34,32,122.487488,26.704981
35,33,118.799721,17.389240
36,34,119.806976,19.884983
37,35,119.976387,22.030504
38,35,120.651863,22.554174
39,35,121.478500,23.179117
40,35,122.016472,25.370605
41,35,123.177429,28.698740
42,35,123.031807,27.647942
43,36,119.709915,19.675976
44,37,119.923859,19.340267
45,38,119.956657,18.529724
46,38,121.540070,22.671057
47,38,120.715691,21.219439
48,38,120.269623,18.471975
49,38,120.584175,20.484442
50,38,122.939911,26.167469
51,38,124.028397,27.537327
52,38,123.550880,26.686262
53,38,124.745621,29.071220
54,38,124.943626,29.302368
55,38,125.501678,29.960123
56,38,124.432053,29.014046
57,38,123.977310,27.057188
58,38,124.964088,29.197023
59,38,126.096581,31.252277
60,38,124.739014,29.169434
61,38,125.161125,29.424717
62,38,123.760635,28.414730
63,38,123.731483,26.640207
64,38,124.379646,27.590591
65,38,123.217049,25.234138
66,38,124.219322,27.233130
67,38,123.767517,26.583731
68,38,123.232491,25.564882
69,38,123.759544,26.334618
70,38,124.985710,28.418554
71,38,127.226410,31.874203
72,38,126.540451,31.261944
73,38,128.269821,33.663479
74,38,128.600525,33.258415
75,38,127.999405,33.789162
76,38,128.012390,32.168758
77,38,130.921539,37.038994
78,38,131.391785,37.000069
79,38,131.156281,35.945595
80,38,129.498978,35.256466
81,38,130.052567,35.482944
82,38,127.261131,31.993416
83,38,128.851730,33.273636
84,38,131.383789,36.758148
85,38,130.263336,35.698975
86,38,127.805992,32.717667
87,38,124.400490,26.791227
88,38,120.618210,18.965557
89,38,120.719414,18.929325
90,39,119.506218,15.905656
91,40,119.922012,15.961538
92,41,118.500687,10.687195
93,41,120.213104,16.692057
94,41,120.513489,17.328892
95,42,119.579010,14.409016
96,42,121.858337,19.625099
97,43,119.509979,12.488841
98,44,116.625984,3.679899
99,45,117.051941,3.107112
100,46,117.343071,2.779934
1,1,99.930717,2.657381
2,2,101.532173,2.948576
3,3,103.075638,3.635723
4,4,103.831009,4.509440
5,5,103.498840,3.435273
6,6,103.468231,3.206652
7,7,102.051186,2.416477
8,8,98.693359,1.116823
9,9,98.562698,0.601513
10,10,101.236336,1.394189
11,11,99.597244,0.962762
12,12,97.688438,0.457257
13,13,99.614464,0.874086
14,14,98.019554,0.601189
15,15,98.298477,0.589223
16,16,97.278534,0.289402
17,17,99.393028,0.345046
18,18,101.454201,1.091525
19,19,100.794678,0.861505
