Temps,It,Stocks,Prix
1,1,101.860016,4.041655
2,2,101.782784,3.276445
3,3,102.270973,3.847507
4,4,104.802925,5.699656
5,5,105.911987,6.223130
6,6,104.084579,4.430410
7,7,106.291092,5.264620
8,8,108.837601,9.441475
9,9,108.164665,7.652033
10,10,109.474045,9.837149
11,11,111.499870,11.779636
12,12,114.393242,14.903059
13,13,112.374001,12.218924
14,14,111.780792,10.330512
15,15,109.973312,8.232261
16,16,110.428436,8.094999
17,17,112.698067,11.181993
18,18,113.507439,13.306251
19,19,114.586853,14.005907
20,20,117.353355,19.242910
21,21,118.117622,20.856989
22,22,115.646118,14.546811
23,23,113.319954,10.264346
24,24,113.346924,10.348087
25,25,112.864441,9.605427
26,26,111.327423,6.617291
27,27,111.338181,6.286573
28,28,108.833366,3.059451
29,29,109.032623,4.043523
30,30,108.362907,2.687117
31,31,107.829071,1.734332
32,32,107.244431,1.270407
33,33,106.895844,0.778464
34,34,105.247559,0.601775
35,35,105.669220,0.232347
36,36,104.260559,0.270231
37,37,106.305077,0.383571
38,38,104.858704,0.065105
39,39,106.129776,0.122332
40,40,105.449127,0.040457
41,41,104.029228,0.000000
42,42,106.077293,0.000000
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.000000
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
