Temps,It,Stocks,Prix
1,1,101.860016,4.159274
2,2,101.782784,3.199465
3,3,102.270973,3.323447
4,4,104.802925,5.539565
5,5,105.911987,6.633164
6,6,104.084579,4.112449
7,7,106.291092,6.397305
8,8,108.837601,9.153061
9,9,108.164665,7.875134
10,10,109.474045,9.218319
11,11,111.499870,10.777788
12,12,114.393242,16.251509
13,13,112.374001,11.419887
14,14,111.780792,10.153934
15,15,109.973312,7.915596
16,16,110.428436,9.747306
17,17,112.698067,11.904497
18,18,113.507439,12.810513
19,19,114.586853,14.734045
20,20,117.353355,18.443548
21,21,118.117622,21.379421
22,22,115.646118,15.043537
23,23,113.319954,10.365332
24,24,113.346924,10.700983
25,25,112.864441,9.017729
26,26,111.327423,7.028694
27,27,111.338181,6.204498
28,28,108.833366,3.471738
29,29,109.032623,3.870798
30,30,108.362907,2.437646
31,31,107.829071,2.326408
32,32,107.244431,1.223865
33,33,106.895844,1.010056
34,34,105.247559,0.639553
35,35,105.669220,0.610348
36,36,104.260559,0.238672
37,37,106.305077,0.253013
38,38,104.858704,0.141980
39,39,106.129776,0.173506
40,40,105.449127,0.080553
41,41,104.029228,0.024926
42,42,106.077293,0.076521
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.000000
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.217868
2,2,104.069519,4.815614
3,3,100.503822,2.315357
4,4,100.899460,1.888746
5,5,99.796852,2.159516
6,6,102.921700,3.375376
7,7,103.030922,2.552757
8,8,103.493202,3.371847
9,9,102.138420,2.923380
10,10,102.312622,2.360562
11,11,103.279228,2.667943
12,12,105.589058,4.154574
13,13,105.739807,3.951671
14,14,108.218918,6.835743
15,15,108.925941,7.032221
16,16,108.937943,7.093041
17,17,109.351089,7.106831
18,18,109.017906,7.050528
19,19,109.213501,6.786969
20,20,107.690369,4.421174
21,21,107.090797,4.104040
22,22,107.591690,3.999393
23,23,107.877853,3.818601
24,24,105.148193,1.926692
25,25,105.896187,1.885857
26,26,105.748741,1.777765
27,27,107.325500,3.011330
28,28,109.062256,3.034641
29,29,108.776169,2.853179
30,30,107.011154,1.443863
31,31,107.652519,2.057967
32,32,109.047638,2.461769
33,33,109.167305,2.092999
34,34,106.322449,0.643672
35,35,106.655418,0.657579
36,36,104.391190,0.145970
37,37,102.210587,0.030894
38,38,103.322853,0.034916
39,39,107.404327,0.234406
40,40,106.321159,0.112989
41,41,106.721931,0.086326
42,42,107.583122,0.084705
43,43,107.867073,0.049040
44,44,107.317444,0.000000
45,45,106.069847,0.000000
46,46,106.524170,0.000000
47,47,107.255775,0.000000
48,48,107.503395,0.000000
49,49,107.141769,0.000000
50,50,107.630669,0.000000
51,51,108.669495,0.000000
52,52,109.909019,0.000000
53,53,109.242363,0.000000
54,54,107.053818,0.000000
55,55,107.624748,0.000000
56,56,106.816605,0.000000
57,57,108.705681,0.000000
58,58,108.848000,0.000000
59,59,109.791359,0.000000
60,60,109.398376,0.000000
61,61,109.520103,0.000000
62,62,110.015884,0.000000
63,63,109.546638,0.000000
64,64,107.844536,0.000000
65,65,106.013329,0.000000
66,66,105.889366,0.000000
67,67,106.057213,0.000000
68,68,107.782074,0.000000
69,69,107.972527,0.000000
70,70,109.376518,0.000000
71,71,109.408791,0.000000
72,72,109.813255,0.000000
73,73,110.218842,0.000000
74,74,111.086945,0.000000
75,75,111.232117,0.000000
76,76,111.760544,0.000000
77,77,110.749817,0.000000
78,78,110.663017,0.000000
79,79,111.298393,0.000000
80,80,110.178558,0.000000
81,81,110.483208,0.000000
82,82,108.352028,0.000000
83,83,111.083557,0.000000
84,84,109.760406,0.000000
85,85,106.902641,0.000000
86,86,105.856133,0.000000
87,87,105.808800,0.000000
88,88,105.572853,0.000000
89,89,105.502190,0.000000
90,90,104.652908,0.000000
91,91,106.727760,0.000000
92,92,105.186531,0.000000
93,93,104.907166,0.000000
94,94,104.018715,0.000000
95,95,104.884247,0.000000
96,96,103.817749,0.000000
97,97,104.236259,0.000000
98,98,102.264526,0.000000
99,99,101.448891,0.000000
100,100,101.134483,0.000000
1,1,100.139580,2.424661
2,2,100.185188,2.332425
3,3,99.196411,2.417809
4,4,98.023407,1.370226
5,5,96.648148,0.709601
6,6,95.828606,0.708556
7,7,95.802620,0.710806
8,8,95.485840,0.625645
9,9,94.762810,0.254789
10,10,94.466858,0.449464
11,11,95.111954,0.184744
12,12,95.696152,0.438928
13,13,96.859032,0.735742
14,14,97.780502,0.673536
15,15,96.906342,0.506940
16,16,98.839668,0.776022
17,17,97.527885,0.348799
18,18,97.934776,0.222463
19,19,100.344604,0.767863
20,20,98.664459,0.336303
21,21,98.546478,0.241870
22,22,100.778183,0.503716
23,23,99.281731,0.426210
24,24,99.748764,0.300641
25,25,101.006912,0.402230
26,26,99.676460,0.464389
27,27,101.134010,0.243748
28,28,101.393539,0.203209
29,29,97.302071,0.037402
30,30,99.631279,0.080976
31,31,101.094292,0.072517
32,32,98.994576,0.096731
33,33,99.976852,0.000000
34,34,100.497658,0.102678
35,35,102.452560,0.000000
36,36,103.936256,0.032524
37,37,103.833275,0.088003
38,38,104.822830,0.182120
39,39,103.203568,0.000000
40,40,104.611458,0.000000
41,41,106.097977,0.000000
42,42,106.814079,0.055502
43,43,106.887878,0.000000
44,44,107.243927,0.044615
45,45,107.926231,0.000000
46,46,107.174339,0.000000
47,47,102.886246,0.000000
48,48,103.977707,0.000000
49,49,104.510551,0.000000
50,50,102.769646,0.000000
