Temps,It,Stocks,Prix
1,1,101.860016,3.783760
2,2,101.782784,2.883237
3,3,102.270973,3.502816
4,4,104.802925,5.399417
5,5,105.911987,5.650082
6,6,104.084579,4.394769
7,7,106.291092,6.397360
8,8,108.837601,8.382125
9,9,108.164665,8.193100
10,10,109.474045,8.933543
11,11,111.499870,11.033718
12,12,114.393242,16.457754
13,13,112.374001,12.093740
14,14,111.780792,10.183757
15,15,109.973312,7.613024
16,16,110.428436,8.644839
17,17,112.698067,11.362087
18,18,113.507439,11.996511
19,19,114.586853,14.901677
20,20,117.353355,20.742821
21,21,118.117622,20.164230
22,22,115.646118,15.413415
23,23,113.319954,10.327733
24,24,113.346924,10.924821
25,25,112.864441,9.196723
26,26,111.327423,6.071531
27,27,111.338181,5.861941
28,28,108.833366,2.801104
29,29,109.032623,3.085474
30,30,108.362907,2.728534
31,31,107.829071,1.261118
32,32,107.244431,1.397126
33,33,106.895844,0.911140
34,34,105.247559,0.303647
35,35,105.669220,0.409770
36,36,104.260559,0.206265
37,37,106.305077,0.295308
38,38,104.858704,0.000000
39,39,106.129776,0.123549
40,40,105.449127,0.000000
41,41,104.029228,0.028484
42,42,106.077293,0.000000
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.032316
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.777552
2,2,104.069519,5.017489
3,3,100.503822,3.175190
4,4,100.899460,2.426356
5,5,99.796852,1.801584
6,6,102.921700,3.510114
7,7,103.030922,3.247420
8,8,103.493202,3.505610
9,9,102.138420,2.585424
10,10,102.312622,2.934088
11,11,103.279228,3.190949
12,12,105.589058,4.574214
13,13,105.739807,4.234918
14,14,108.218918,6.548163
15,15,108.925941,6.654814
16,16,108.937943,6.903755
17,17,109.351089,7.220074
18,18,109.017906,6.341966
19,19,109.213501,6.004032
20,20,107.690369,4.617552
21,21,107.090797,3.078635
22,22,107.591690,4.001712
23,23,107.877853,3.569440
24,24,105.148193,1.647892
25,25,105.896187,2.324130
26,26,105.748741,1.919657
27,27,107.325500,2.412553
28,28,109.062256,3.183239
29,29,108.776169,2.864854
30,30,107.011154,1.507222
31,31,107.652519,2.171915
32,32,109.047638,2.793093
33,33,109.167305,2.129251
34,34,106.322449,0.653522
35,35,106.655418,0.468117
36,36,104.391190,0.069047
37,37,102.210587,0.060549
38,38,103.322853,0.000000
39,39,107.404327,0.451058
40,40,106.321159,0.066490
41,41,106.721931,0.055720
42,42,107.583122,0.000000
43,43,107.867073,0.103603
44,44,107.317444,0.000000
45,45,106.069847,0.000000
46,46,106.524170,0.000000
47,47,107.255775,0.000000
48,48,107.503395,0.000000
49,49,107.141769,0.000000
50,50,107.630669,0.000000
51,51,108.669495,0.000000
52,52,109.909019,0.000000
53,53,109.242363,0.000000
54,54,107.053818,0.000000
55,55,107.624748,0.000000
56,56,106.816605,0.000000
57,57,108.705681,0.000000
58,58,108.848000,0.000000
59,59,109.791359,0.000000
60,60,109.398376,0.000000
61,61,109.520103,0.000000
62,62,110.015884,0.000000
63,63,109.546638,0.000000
64,64,107.844536,0.000000
65,65,106.013329,0.000000
66,66,105.889366,0.000000
67,67,106.057213,0.000000
68,68,107.782074,0.000000
69,69,107.972527,0.000000
70,70,109.376518,0.000000
71,71,109.408791,0.000000
72,72,109.813255,0.000000
73,73,110.218842,0.000000
74,74,111.086945,0.000000
75,75,111.232117,0.000000
76,76,111.760544,0.000000
77,77,110.749817,0.000000
78,78,110.663017,0.000000
79,79,111.298393,0.000000
80,80,110.178558,0.000000
81,81,110.483208,0.000000
82,82,108.352028,0.000000
83,83,111.083557,0.000000
84,84,109.760406,0.000000
85,85,106.902641,0.000000
86,86,105.856133,0.000000
87,87,105.808800,0.000000
88,88,105.572853,0.000000
89,89,105.502190,0.000000
90,90,104.652908,0.000000
91,91,106.727760,0.000000
92,92,105.186531,0.000000
93,93,104.907166,0.000000
94,94,104.018715,0.000000
95,95,104.884247,0.000000
96,96,103.817749,0.000000
97,97,104.236259,0.000000
98,98,102.264526,0.000000
99,99,101.448891,0.000000
100,100,101.134483,0.000000
1,1,100.139580,1.995924
2,2,100.185188,2.500899
3,3,99.196411,1.849987
4,4,98.023407,1.532504
5,5,96.648148,0.729582
6,6,95.828606,0.881440
7,7,95.802620,0.402444
8,8,95.485840,0.581464
9,9,94.762810,0.499459
10,10,94.466858,0.288682
11,11,95.111954,0.230323
12,12,95.696152,0.211884
13,13,96.859032,0.622304
14,14,97.780502,0.552457
15,15,96.906342,0.182704
16,16,98.839668,0.604330
17,17,97.527885,0.246129
18,18,97.934776,0.384634
19,19,100.344604,0.857037
20,20,98.664459,0.288181
21,21,98.546478,0.455938
22,22,100.778183,0.806195
23,23,99.281731,0.186329
24,24,99.748764,0.405145
25,25,101.006912,0.400785
26,26,99.676460,0.268837
27,27,101.134010,0.408323
28,28,101.393539,0.251171
29,29,97.302071,0.037734
30,30,99.631279,0.029838
31,31,101.094292,0.204893
32,32,98.994576,0.000000
33,33,99.976852,0.031023
34,34,100.497658,0.000000
35,35,102.452560,0.031602
36,36,103.936256,0.138215
37,37,103.833275,0.173184
38,38,104.822830,0.116022
39,39,103.203568,0.000000
40,40,104.611458,0.000000
41,41,106.097977,0.047055
42,42,106.814079,0.029571
43,43,106.887878,0.000000
44,44,107.243927,0.000000
45,45,107.926231,0.000000
46,46,107.174339,0.000000
47,47,102.886246,0.000000
48,48,103.977707,0.000000
49,49,104.510551,0.000000
50,50,102.769646,0.000000
51,51,103.535828,0.000000
52,52,103.705353,0.000000
53,53,102.952690,0.000000
54,54,102.425682,0.000000
55,55,101.179367,0.000000
56,56,101.406204,0.000000
57,57,101.582947,0.000000
58,58,101.151291,0.000000
59,59,101.737724,0.000000
60,60,99.928940,0.000000
61,61,98.902290,0.000000
62,62,98.647667,0.000000
63,63,100.206154,0.000000
64,64,101.218338,0.000000
65,65,102.219917,0.000000
66,66,103.288849,0.000000
67,67,103.962540,0.000000
68,68,105.063011,0.000000
69,69,106.408096,0.000000
70,70,106.535439,0.000000
71,71,105.164848,0.000000
72,72,107.061760,0.000000
73,73,108.688995,0.000000
74,74,107.841171,0.000000
75,75,108.863159,0.000000
76,76,111.582718,0.000000
77,77,111.262833,0.000000
78,78,112.159096,0.000000
79,79,113.217384,0.000000
80,80,112.880737,0.000000
81,81,112.861542,0.000000
82,82,112.067963,0.000000
83,83,111.152092,0.000000
84,84,111.494781,0.000000
85,85,110.031311,0.000000
86,86,109.252686,0.000000
87,87,109.642456,0.000000
88,88,110.279320,0.000000
89,89,112.035797,0.000000
90,90,110.706970,0.000000
91,91,112.679138,0.000000
92,92,110.258629,0.000000
93,93,110.139633,0.000000
94,94,112.000153,0.000000
95,95,112.751045,0.000000
96,96,113.886345,0.000000
97,97,114.829071,0.000000
98,98,113.971642,0.000000
99,99,118.030205,0.000000
100,100,119.374603,0.000000
1,1,101.110962,3.097019
2,2,100.008247,2.692387
3,3,97.583679,1.327822
4,4,99.045677,2.352550
5,5,99.206924,1.401886
6,6,96.961411,0.773417
7,7,96.630447,0.832857
8,8,95.886086,0.417580
9,9,97.107483,0.650299
10,10,96.360481,0.538120
11,11,95.494400,0.432707
12,12,93.857101,0.152413
13,13,95.261635,0.280121
14,14,96.687454,0.396440
15,15,98.943756,0.754887
16,16,99.826553,0.751035
17,17,99.663437,0.564491
18,18,96.223808,0.141999
19,19,95.228325,0.121775
20,20,95.699989,0.224839
21,21,97.637672,0.174282
22,22,98.697136,0.374788
23,23,99.937386,0.493245
24,24,101.572655,0.653545
25,25,102.742310,0.620501
26,26,101.957703,0.503969
27,27,100.969154,0.175365
28,28,101.557274,0.177130
29,29,105.732933,0.994943
30,30,106.948433,1.485754
31,31,107.999161,1.666289
32,32,108.233833,2.062445
33,33,109.158730,2.467331
34,34,108.013359,1.264246
35,35,109.989830,2.358655
36,36,111.515205,3.164266
37,37,111.093567,2.283620
38,38,108.131439,0.552663
39,39,109.709373,0.920884
40,40,111.296608,1.356102
41,41,109.467888,0.549793
42,42,111.434082,0.741981
43,43,111.619583,0.942888
44,44,111.755638,0.395254
45,45,110.481293,0.073802
46,46,110.073975,0.000000
47,47,110.047249,0.000000
48,48,110.728004,0.000000
49,49,111.385056,0.000000
50,50,109.852119,0.000000
51,51,109.888657,0.000000
52,52,109.380615,0.000000
53,53,110.526939,0.000000
54,54,111.011459,0.000000
55,55,110.683647,0.000000
56,56,110.642113,0.000000
57,57,108.363342,0.000000
58,58,107.787941,0.000000
59,59,107.232758,0.000000
60,60,106.620552,0.000000
61,61,108.191750,0.000000
62,62,108.198631,0.000000
63,63,109.277313,0.000000
64,64,109.397179,0.000000
65,65,110.972816,0.000000
66,66,108.928024,0.000000
67,67,106.954613,0.000000
68,68,105.393066,0.000000
69,69,104.294655,0.000000
70,70,103.941032,0.000000
71,71,103.973869,0.000000
72,72,104.399887,0.000000
73,73,103.579292,0.000000
74,74,102.517548,0.000000
75,75,101.854439,0.000000
76,76,101.328369,0.000000
77,77,99.918999,0.000000
78,78,99.471848,0.000000
79,79,99.538055,0.000000
80,80,99.707314,0.000000
81,81,99.454788,0.000000
82,82,98.018234,0.000000
83,83,96.882454,0.000000
84,84,94.351891,0.000000
85,85,95.505966,0.000000
86,86,98.917160,0.000000
87,87,98.295311,0.000000
88,88,95.756279,0.000000
89,89,96.545464,0.000000
90,90,95.677605,0.000000
91,91,94.291420,0.000000
92,92,95.890877,0.000000
93,93,96.353760,0.000000
94,94,95.051598,0.000000
95,95,95.528839,0.000000
96,96,94.689514,0.000000
97,97,96.226349,0.000000
98,98,93.487503,0.000000
99,99,92.239098,0.000000
100,100,92.760010,0.000000
1,1,102.046974,3.399861
2,2,100.250496,3.112296
3,3,98.324432,1.763866
4,4,97.674896,1.153874
5,5,96.927086,0.952078
6,6,95.626640,0.808394
7,7,93.735519,0.228381
8,8,95.822418,0.305081
9,9,97.403442,0.803168
10,10,93.685043,0.314348
11,11,93.511673,0.219075
12,12,91.788635,0.070349
13,13,92.512535,0.152554
14,14,91.211906,0.033821
15,15,89.255463,0.000000
16,16,86.436256,0.033297
17,17,87.853836,0.000000
18,18,88.097473,0.000000
19,19,86.862572,0.000000
20,20,87.451332,0.000000
21,21,85.322891,0.000000
22,22,84.501198,0.000000
23,23,84.124832,0.000000
24,24,82.219177,0.000000
25,25,78.872467,0.000000
26,26,81.513786,0.000000
27,27,79.934616,0.000000
28,28,82.775574,0.000000
29,29,82.901367,0.000000
30,30,82.819138,0.000000
31,31,81.904724,0.000000
32,32,84.015846,0.000000
33,33,83.898712,0.000000
34,34,83.883400,0.000000
35,35,83.077042,0.000000
36,36,82.047478,0.000000
37,37,82.471207,0.000000
38,38,82.970192,0.000000
39,39,82.683098,0.000000
40,40,82.157867,0.000000
41,41,78.845795,0.000000
42,42,78.910255,0.000000
43,43,79.604683,0.000000
44,44,76.471901,0.000000
45,45,75.978096,0.000000
46,46,74.899368,0.000000
47,47,76.385612,0.000000
48,48,76.741600,0.000000
