Temps,It,Stocks,Prix
28,28,99.070518,0.420035
29,29,98.339302,0.000000
30,30,99.526505,0.000000
31,31,98.125023,0.129130
32,32,98.289886,0.000000
33,33,96.222137,0.102935
34,34,95.113014,0.000000
35,35,94.390823,0.000000
36,36,93.445465,0.000000
37,37,91.481529,0.000000
38,38,91.814667,0.000000
39,39,92.865128,0.000000
40,40,92.421577,0.000000
41,41,94.758751,0.000000
42,42,96.678169,0.000000
43,43,96.095360,0.000000
44,44,95.777786,0.000000
45,45,94.382851,0.000000
46,46,94.564117,0.000000
47,47,94.854630,0.000000
48,48,96.187393,0.000000
49,49,96.456413,0.000000
50,50,94.023987,0.000000
51,51,93.399673,0.000000
52,52,94.183289,0.000000
53,53,93.633568,0.000000
54,54,91.877602,0.000000
55,55,91.968399,0.000000
56,56,92.329391,0.000000
57,57,92.511307,0.000000
58,58,92.520439,0.000000
59,59,94.646111,0.000000
60,60,95.518074,0.000000
61,61,94.747101,0.000000
62,62,94.960770,0.000000
63,63,94.032036,0.000000
64,64,93.149139,0.000000
65,65,92.581772,0.000000
66,66,91.406364,0.000000
67,67,91.251060,0.000000
68,68,91.507149,0.000000
69,69,92.922531,0.000000
70,70,93.485611,0.000000
71,71,94.280746,0.000000
72,72,92.711845,0.000000
73,73,92.918007,0.000000
74,74,94.448952,0.000000
75,75,96.310890,0.000000
76,76,97.875259,0.000000
77,77,100.402794,0.000000
78,78,100.486588,0.000000
79,79,100.339554,0.000000
80,80,100.773232,0.000000
81,81,99.840179,0.000000
82,82,101.778954,0.000000
83,83,101.278061,0.000000
84,84,100.812714,0.000000
85,85,100.454414,0.000000
86,86,98.392815,0.000000
87,87,99.620186,0.000000
88,88,98.242462,0.000000
89,89,98.507797,0.000000
90,90,98.897026,0.000000
91,91,101.736351,0.000000
92,92,102.053398,0.000000
93,93,104.167534,0.000000
94,94,104.277222,0.000000
95,95,103.085793,0.000000
96,96,104.810463,0.000000
97,97,103.569687,0.000000
98,98,105.551682,0.000000
99,99,110.214691,0.000000
100,100,109.361885,0.000000
1,1,100.750885,2.892120
2,2,100.642830,2.116204
3,3,97.581978,1.303889
4,4,98.295540,1.438335
5,5,98.933098,1.751051
6,6,100.685745,1.798485
7,7,101.187309,1.967898
8,8,102.309586,1.606080
9,9,103.986504,3.939253
10,10,106.078415,5.570498
11,11,106.903275,4.817970
12,12,104.597824,2.070741
13,13,100.617058,1.076243
14,14,100.937111,1.477298
15,15,103.273804,1.134651
16,16,102.451630,1.122288
17,17,98.066666,0.427699
18,18,100.323639,0.375644
19,19,98.965118,0.126821
20,20,101.886536,0.780152
21,21,100.976997,0.684321
22,22,101.532288,0.451017
23,23,101.222870,0.501212
24,24,100.393387,0.625248
25,25,100.767807,0.143306
26,26,99.780281,0.528235
27,27,101.494591,0.242536
28,28,101.172630,0.000000
29,29,102.141228,0.164912
30,30,102.630135,0.000000
31,31,105.597534,0.745676
32,32,105.449928,0.682328
33,33,104.814545,0.421763
34,34,105.640854,0.490619
35,35,107.059883,0.469780
36,36,109.166374,0.957036
37,37,106.339294,0.322675
38,38,104.822235,0.370384
39,39,105.043884,0.000000
40,40,106.074272,0.000000
41,41,105.909363,0.000000
42,42,105.588692,0.000000
43,43,106.122826,0.000000
44,44,104.530472,0.000000
45,45,103.902977,0.000000
46,46,103.221161,0.000000
47,47,102.792351,0.000000
48,48,103.011086,0.000000
49,49,103.485443,0.000000
50,50,102.207474,0.000000
51,51,103.818336,0.000000
52,52,103.247963,0.000000
53,53,104.029839,0.000000
54,54,105.246078,0.000000
55,55,106.512054,0.000000
56,56,106.784546,0.000000
57,57,106.425438,0.000000
58,58,106.255829,0.000000
59,59,107.162834,0.000000
60,60,106.478394,0.000000
61,61,105.207748,0.000000
62,62,105.052063,0.000000
63,63,105.705627,0.000000
64,64,105.618629,0.000000
65,65,105.950874,0.000000
66,66,106.388466,0.000000
67,67,105.112175,0.000000
68,68,106.674324,0.000000
69,69,108.372116,0.000000
70,70,106.891998,0.000000
71,71,105.110153,0.000000
72,72,104.737907,0.000000
73,73,106.043304,0.000000
74,74,106.082443,0.000000
75,75,106.504395,0.000000
76,76,108.477158,0.000000
77,77,110.099998,0.000000
78,78,110.175735,0.000000
79,79,111.884048,0.000000
80,80,110.744484,0.000000
81,81,110.483444,0.000000
82,82,112.464828,0.000000
83,83,112.186020,0.000000
84,84,111.025475,0.000000
85,85,111.448654,0.000000
86,86,111.918808,0.000000
87,87,111.182098,0.000000
88,88,110.964935,0.000000
89,89,110.869507,0.000000
90,90,112.949417,0.000000
91,91,114.156021,0.000000
92,92,115.261452,0.000000
93,93,115.793266,0.000000
94,94,113.453934,0.000000
95,95,114.291275,0.000000
96,96,115.494255,0.000000
97,97,115.083702,0.000000
98,98,116.026985,0.000000
99,99,115.818237,0.000000
100,100,116.723289,0.000000
1,1,99.309753,1.290292
2,2,98.302322,1.432724
3,3,94.834015,0.690145
4,4,92.796295,0.180684
5,5,94.976959,0.398549
6,6,95.775040,0.747174
7,7,92.965607,0.177868
8,8,93.908104,0.105525
9,9,94.865074,0.000000
10,10,94.565994,0.404261
11,11,93.597351,0.245982
12,12,94.475586,0.092779
13,13,93.698769,0.000000
14,14,94.615303,0.141050
15,15,95.552544,0.000000
16,16,96.883476,0.226978
17,17,99.311569,0.294655
18,18,99.870773,0.533527
19,19,97.614388,0.246012
20,20,98.366791,0.000000
21,21,97.931625,0.372711
22,22,99.624313,0.420303
23,23,99.019043,0.183326
24,24,97.158760,0.000000
25,25,98.067505,0.276207
26,26,98.730713,0.000000
27,27,99.647179,0.275173
28,28,101.291023,0.741923
29,29,100.004105,0.150838
30,30,101.299896,0.139992
31,31,102.488190,0.127657
32,32,102.836494,0.107422
33,33,105.023880,0.429874
34,34,102.733429,0.000000
35,35,102.440987,0.000000
36,36,101.556366,0.000000
37,37,100.043602,0.000000
38,38,99.814842,0.000000
39,39,99.358765,0.000000
40,40,99.362198,0.000000
41,41,100.269806,0.000000
42,42,100.750099,0.000000
