Temps,It,Stocks,Prix
1,1,101.860016,3.429970
2,2,101.782784,2.991052
3,3,102.270973,3.050334
4,4,104.802925,4.857463
5,5,105.911987,5.303886
6,6,104.084579,4.401351
7,7,106.291092,6.098559
8,8,108.837601,8.992865
9,9,108.164665,8.068520
10,10,109.474045,9.892147
11,11,111.499870,10.286209
12,12,114.393242,15.332028
13,13,112.374001,12.315292
14,14,111.780792,12.225883
15,15,109.973312,8.857251
16,16,110.428436,8.308321
17,17,112.698067,12.242662
18,18,113.507439,12.242756
19,19,114.586853,15.012265
20,20,117.353355,18.571379
21,21,118.117622,20.780323
22,22,115.646118,15.777420
23,23,113.319954,10.582475
24,24,113.346924,9.851816
25,25,112.864441,9.255668
26,26,111.327423,6.623751
27,27,111.338181,6.113080
28,28,108.833366,3.690155
29,29,109.032623,3.099237
30,30,108.362907,2.130031
31,31,107.829071,1.819161
32,32,107.244431,1.279659
33,33,106.895844,0.911542
34,34,105.247559,0.461614
35,35,105.669220,0.483720
36,36,104.260559,0.118053
37,37,106.305077,0.349776
38,38,104.858704,0.093399
39,39,106.129776,0.082967
40,40,105.449127,0.095350
41,41,104.029228,0.000000
42,42,106.077293,0.000000
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.052574
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.160568
2,2,104.069519,5.480037
3,3,100.503822,2.195587
4,4,100.899460,2.632492
5,5,99.796852,1.881637
6,6,102.921700,3.844905
7,7,103.030922,3.098391
8,8,103.493202,3.526251
9,9,102.138420,2.020473
10,10,102.312622,2.374026
11,11,103.279228,3.166737
12,12,105.589058,4.899725
13,13,105.739807,4.532011
14,14,108.218918,6.231284
15,15,108.925941,6.548398
16,16,108.937943,7.458775
17,17,109.351089,7.347908
18,18,109.017906,6.150407
19,19,109.213501,6.886268
20,20,107.690369,4.925602
21,21,107.090797,3.720571
22,22,107.591690,3.440215
23,23,107.877853,4.081893
24,24,105.148193,1.456461
25,25,105.896187,2.218679
26,26,105.748741,2.050029
27,27,107.325500,2.245560
28,28,109.062256,2.992356
29,29,108.776169,3.329120
30,30,107.011154,2.006946
31,31,107.652519,1.858791
32,32,109.047638,1.926500
33,33,109.167305,1.831921
34,34,106.322449,0.553836
35,35,106.655418,0.671528
36,36,104.391190,0.198378
37,37,102.210587,0.111261
38,38,103.322853,0.070937
39,39,107.404327,0.293546
40,40,106.321159,0.030184
41,41,106.721931,0.025465
42,42,107.583122,0.033962
43,43,107.867073,0.055158
44,44,107.317444,0.000000
45,45,106.069847,0.000000
46,46,106.524170,0.000000
47,47,107.255775,0.000000
48,48,107.503395,0.000000
49,49,107.141769,0.000000
50,50,107.630669,0.000000
51,51,108.669495,0.000000
52,52,109.909019,0.000000
53,53,109.242363,0.000000
54,54,107.053818,0.000000
55,55,107.624748,0.000000
56,56,106.816605,0.000000
57,57,108.705681,0.000000
58,58,108.848000,0.000000
59,59,109.791359,0.000000
60,60,109.398376,0.000000
61,61,109.520103,0.000000
62,62,110.015884,0.000000
63,63,109.546638,0.000000
64,64,107.844536,0.000000
65,65,106.013329,0.000000
66,66,105.889366,0.000000
67,67,106.057213,0.000000
68,68,107.782074,0.000000
69,69,107.972527,0.000000
70,70,109.376518,0.000000
71,71,109.408791,0.000000
72,72,109.813255,0.000000
73,73,110.218842,0.000000
74,74,111.086945,0.000000
75,75,111.232117,0.000000
76,76,111.760544,0.000000
77,77,110.749817,0.000000
78,78,110.663017,0.000000
79,79,111.298393,0.000000
80,80,110.178558,0.000000
81,81,110.483208,0.000000
82,82,108.352028,0.000000
83,83,111.083557,0.000000
84,84,109.760406,0.000000
85,85,106.902641,0.000000
86,86,105.856133,0.000000
87,87,105.808800,0.000000
88,88,105.572853,0.000000
89,89,105.502190,0.000000
90,90,104.652908,0.000000
91,91,106.727760,0.000000
92,92,105.186531,0.000000
93,93,104.907166,0.000000
94,94,104.018715,0.000000
95,95,104.884247,0.000000
96,96,103.817749,0.000000
97,97,104.236259,0.000000
98,98,102.264526,0.000000
99,99,101.448891,0.000000
100,100,101.134483,0.000000
1,1,100.139580,2.232050
2,2,100.185188,2.218586
3,3,99.196411,1.868777
4,4,98.023407,1.644374
5,5,96.648148,0.788131
6,6,95.828606,0.667526
7,7,95.802620,0.562326
8,8,95.485840,0.612796
9,9,94.762810,0.307868
10,10,94.466858,0.135381
11,11,95.111954,0.350271
12,12,95.696152,0.402193
13,13,96.859032,0.224525
14,14,97.780502,0.545649
15,15,96.906342,0.412503
16,16,98.839668,0.669256
17,17,97.527885,0.205637
18,18,97.934776,0.376310
19,19,100.344604,0.689600
20,20,98.664459,0.260068
21,21,98.546478,0.249627
22,22,100.778183,0.738636
23,23,99.281731,0.206607
24,24,99.748764,0.327940
25,25,101.006912,0.347835
26,26,99.676460,0.063548
27,27,101.134010,0.194301
28,28,101.393539,0.286026
29,29,97.302071,0.035493
30,30,99.631279,0.082523
31,31,101.094292,0.144412
32,32,98.994576,0.017514
33,33,99.976852,0.000000
34,34,100.497658,0.000000
35,35,102.452560,0.112018
36,36,103.936256,0.166285
37,37,103.833275,0.106644
38,38,104.822830,0.136543
39,39,103.203568,0.000000
40,40,104.611458,0.000000
41,41,106.097977,0.041753
42,42,106.814079,0.051485
43,43,106.887878,0.073046
44,44,107.243927,0.034224
45,45,107.926231,0.000000
46,46,107.174339,0.000000
47,47,102.886246,0.000000
48,48,103.977707,0.000000
49,49,104.510551,0.000000
50,50,102.769646,0.000000
51,51,103.535828,0.000000
52,52,103.705353,0.000000
53,53,102.952690,0.000000
54,54,102.425682,0.000000
55,55,101.179367,0.000000
56,56,101.406204,0.000000
57,57,101.582947,0.000000
58,58,101.151291,0.000000
59,59,101.737724,0.000000
60,60,99.928940,0.000000
61,61,98.902290,0.000000
62,62,98.647667,0.000000
63,63,100.206154,0.000000
64,64,101.218338,0.000000
65,65,102.219917,0.000000
66,66,103.288849,0.000000
67,67,103.962540,0.000000
68,68,105.063011,0.000000
69,69,106.408096,0.000000
70,70,106.535439,0.000000
71,71,105.164848,0.000000
72,72,107.061760,0.000000
73,73,108.688995,0.000000
74,74,107.841171,0.000000
